date,time,digits
2024-03-25,14:59:55,00066
2024-03-25,15:25:09,00065
2024-03-25,15:25:38,00065
2024-03-25,15:27:54,00065
2024-03-25,15:28:51,00065
2024-03-25,15:33:30,00065
2024-03-25,15:38:36,00065
2024-03-25,15:43:25,00066
2024-03-25,15:44:02,00066
2024-03-25,15:44:39,00066
2024-03-25,15:45:15,00066
2024-03-25,15:45:52,00066
2024-03-25,15:46:29,00066
2024-03-25,15:47:06,00066
2024-03-25,15:47:43,00066
2024-03-25,15:48:20,00066
2024-03-25,15:48:57,00066
2024-03-25,15:49:34,00066
2024-03-25,15:50:11,00066
2024-03-25,15:50:48,00067
2024-03-25,15:51:25,000573
2024-03-25,15:52:02,000573
2024-03-25,15:52:38,009967
2024-03-25,15:53:15,009967
2024-03-25,15:53:52,09064
2024-03-25,15:54:28,09064
2024-03-25,15:55:05,00073
2024-03-25,15:55:42,00073
2024-03-25,15:56:19,001137028
2024-03-25,15:56:56,001137028
2024-03-25,15:57:33,001137028
2024-03-25,16:00:39,
2024-03-25,16:00:56,
2024-03-25,16:01:33,
2024-03-25,16:02:10,001137028
2024-03-25,16:02:47,001137028
2024-03-25,16:03:24,001137028
2024-03-25,16:04:01,001137028
2024-03-25,16:04:39,001137028
2024-03-25,16:05:16,001137028
2024-03-25,16:05:53,000996777
2024-03-25,16:06:31,000996777
2024-03-25,16:07:08,00158106
2024-03-25,16:07:45,00158106
2024-03-25,16:08:22,00158106
2024-03-25,16:08:59,00158106
2024-03-25,16:09:36,00158106
2024-03-25,16:10:13,00487787
2024-03-26,10:01:57,004877687
2024-03-26,10:02:34,004877687
2024-03-26,10:03:12,004877687
2024-03-26,10:03:49,00065
2024-03-26,10:04:26,000667
2024-03-26,10:05:03,000667
2024-03-26,10:05:39,000667
2024-03-26,10:06:16,000667
2024-03-26,10:06:53,0005536
2024-03-26,10:07:29,0005536
2024-03-26,10:07:59,000996767
2024-03-26,10:08:36,000996767
2024-03-26,10:09:14,000996767
2024-03-26,10:09:51,000996767
2024-03-26,10:10:28,00079
2024-03-26,10:11:05,00079
2024-03-26,10:11:41,00079
2024-03-26,10:12:18,00077
